000.WeirdCreature			Weird|Creature				AKA "Red-Breasted|Northern|Butt-Smiler."
099.SharpOfDoll				Shard|of doll				Pretty sharp.
100.Fuse					Fuse						Discarded lengths|of fuse rope.
101.GreenStone				Uncut|Green|Stone			Special stone to be|used for carving|a new prism.
102.CbVibrafork			Cb-Vibra-|fork				Has two|prongs - it can|play a simple|Cb-note.
103.EbVibrafork			Eb-Vibra-|fork				Has two|prongs - it can|play a simple|Eb-note.
104.FbVibrafork			F-Vibra-|fork				Has two|prongs - it can|play a simple|F-note.
105.!@Talisman0				Mom's|Talisman				The talisman my|mother gave me.|Five very empty|spaces.
106.!@Talisman1				Mom's|Talisman				The ancient yellow|prism fits like|a glove.|One finger anyway.
107.!@Talisman2				Mom's|Talisman				Two prisms,|three to|go. No|problem.
108.!@Talisman3				Mom's|Talisman				Got 'em. All|3 prisms. Oh|dang, I need 5.
109.!@Talisman4				Mom's|Talisman				Workin' up a|serious rainbow|here.
